County,State,MUAP_Code,MUAP_Service_Area,MUAP_Status,Designation_Date,MUAP_Update_Date,MUAP_Withdrawal_Date,IMU_Score,Population_Type,MUAP_Component_Geo_Name,MUAP_Component_Geo_Type_Code,Pct_Pop_Below_Poverty,Poverty_IMU_Score,Pct_Pop_65_Over,Pop_65_Over_IMU_Score,Infant_Mortality_Rate,Infant_Mortality_IMU_Score,MUAP_Designation_Population,MUAP_Total_Resident_Population,Providers_per_1000,Provider_Ratio_per_1000,Provider_Ratio_IMU_Score,MUA_count
Bexar County,Texas,48029171502,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1715.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171601,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1716.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180504,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1805.04,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180602,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1806.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180603,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1806.03,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180501,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1805.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180503,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1805.03,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180300,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1803,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180201,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1802.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180202,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1802.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171801,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1718.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171802,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1718.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171602,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1716.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171700,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1717,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170101,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1701.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170500,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1705,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170600,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1706,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170700,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1707,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170300,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1703,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170401,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1704.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170402,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1704.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029110600,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1106,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029110500,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1105,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160200,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1602,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180400,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1804,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170900,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1709,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160701,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1607.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170200,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1702,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171100,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1711,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171200,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1712,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160600,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1606,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170102,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1701.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Motley County,Texas,48345,Motley County,Designated,11/1/78,5/23/24,,48.0,Medically Underserved Area,Motley,SCTY,7.2,21.9,30.4,0.0,0.0,26.0,1362.0,,0.0,,0.0,1
Randall County,Texas,48381021801,Canyon,Designated,5/13/19,5/13/19,,58.1,Medically Underserved Area,218.01,CT,23.2,12.2,11.6,19.4,5.1,26.0,11009.0,,0.091,,0.5,1
Randall County,Texas,48381021802,Canyon,Designated,5/13/19,5/13/19,,58.1,Medically Underserved Area,218.02,CT,23.2,12.2,11.6,19.4,5.1,26.0,11009.0,,0.091,,0.5,1
Clay County,Texas,48077,Clay County,Designated,3/29/00,5/2/24,,53.0,Medically Underserved Area,Clay,SCTY,12.2,18.7,22.9,8.0,0.0,26.0,10359.0,,0.0,,0.0,1
Burleson County,Texas,48051,Burleson County,Designated,11/1/78,5/2/24,,56.0,Medically Underserved Area,Burleson,SCTY,11.3,20.0,20.9,9.8,0.0,26.0,18000.0,,0.1,,0.5,1
Llano County,Texas,48299,Llano County,Designated,11/1/78,5/10/24,,57.0,Medically Underserved Area,Llano,SCTY,7.6,21.9,36.9,0.0,0.0,26.0,21190.0,,0.378,,9.0,1
Bowie County,Texas,48037011600,De Kalb Service Area,Designated,6/5/95,5/13/19,,51.7,Medically Underserved Area,116,CT,10.4,20.0,24.3,6.1,8.7,25.6,7203.0,,0.0,,0.0,1
Bowie County,Texas,48037011700,De Kalb Service Area,Designated,6/5/95,5/13/19,,51.7,Medically Underserved Area,117,CT,10.4,20.0,24.3,6.1,8.7,25.6,7203.0,,0.0,,0.0,1
Jasper County,Texas,48241,LI - Jasper County,Designated,11/29/19,11/29/19,,57.0,MUP Low Income,Jasper,SCTY,16.3,16.2,17.7,14.4,0.0,26.0,13364.0,,0.021,,0.0,1
Lee County,Texas,48287,Lee County,Designated,11/22/21,11/22/21,,58.0,Medically Underserved Area,Lee,SCTY,12.2,18.7,18.5,12.8,0.0,26.0,16596.0,,0.092,,0.5,1
Dallas County,Texas,48113021000,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 210, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011603,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 116.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113021100,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 211, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011604,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 116.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011002,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 110.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011003,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 110.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011004,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 110.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011601,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 116.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011202,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 112.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011300,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 113, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005600,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 56, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011103,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 111.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113006002,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 60.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005901,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 59.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005902,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 59.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113003103,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 31.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113020200,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 202, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113020401,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 204.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113020402,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 204.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113020900,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 209, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011201,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 112.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011105,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 111.05, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011101,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 111.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011104,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 111.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113009303,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 93.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113009304,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 93.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113010905,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 109.05, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113010906,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 109.06, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008802,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 88.02, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008705,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 87.05, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008801,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 88.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008703,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 87.03, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008704,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 87.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008604,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 86.04, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113008701,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 87.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005400,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 54, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005700,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 57, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113005500,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 55, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113011401,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 114.01, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113016710,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 167.10, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Dallas County,Texas,48113016711,Dallas South,Designated,3/6/24,3/6/24,,53.0,Medically Underserved Area,"Census Tract 167.11, Dallas County, Texas",CT,29.6,7.8,13.7,18.9,6.23,26.0,177946.0,,0.099,,0.5,1
Freestone County,Texas,48161,Freestone County,Designated,11/1/78,5/2/24,,54.0,Medically Underserved Area,Freestone,SCTY,16.2,16.2,20.4,9.8,0.0,26.0,18107.0,,0.149,,1.5,1
Bexar County,Texas,48029161501,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1615.01,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029980002,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,9800.02,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161503,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1615.03,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029980100,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,9801,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161504,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1615.04,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161302,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1613.02,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161600,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1616,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161303,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1613.03,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161400,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1614,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161304,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1613.04,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029160901,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1609.01,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029150501,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1505.01,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029160902,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1609.02,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029161000,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1610,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029160300,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1603,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029160400,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1604,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029150400,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1504,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029151100,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1511,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029150502,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1505.02,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Bexar County,Texas,48029160702,San Antonio Southwest,Designated,12/23/19,12/23/19,,58.0,Medically Underserved Area,1607.02,CT,27.2,9.3,10.9,19.6,6.2,26.0,85035.0,,0.19,,2.8,1
Maverick County,Texas,48323,Maverick County,Designated,11/1/78,8/31/24,,62.0,Medically Underserved Area,Maverick,SCTY,26.1,9.3,11.7,19.4,6.846,26.0,57926.0,,0.331,,7.3,1
Culberson County,Texas,48109,Culberson County,Designated,11/1/78,4/23/19,,59.9,Medically Underserved Area,Culberson,SCTY,23.8,12.2,17.6,14.4,0.0,26.0,2248.0,,0.334,,7.3,1
Panola County,Texas,48365,Panola County,Designated,11/1/78,8/31/24,,57.0,Medically Underserved Area,Panola,SCTY,14.1,17.4,18.9,12.8,7.44,26.0,22653.0,,0.088,,0.5,1
Swisher County,Texas,48437,Swisher County,Designated,11/1/78,9/7/24,,52.0,Medically Underserved Area,Swisher,SCTY,25.2,10.9,20.0,9.8,0.0,26.0,6765.0,,0.296,,5.7,1
Stephens County,Texas,48429,Stephens County,Designated,11/1/78,6/11/24,,59.0,Medically Underserved Area,Stephens,SCTY,19.4,14.9,19.7,11.1,0.0,26.0,8947.0,,0.311,,7.3,1
Starr County,Texas,48427,Starr County,Designated,11/1/78,5/31/24,,53.0,Medically Underserved Area,Starr,SCTY,34.1,4.7,11.3,19.4,3.564,26.0,63423.0,,0.171,,2.8,1
